bullet_type,idx,changed,원문(r72),한국어 요약(r73),url
spillover,25,Y,"TWS appeared in Vogue Korea's April 2024 issue in a youthful, casual-styled photoshoot accompanied by a group interview about their debut and title track.",투어스는 보그 코리아 2024년 4월호에 캐주얼한 청춘 콘셉트 화보와 데뷔·타이틀곡을 다룬 그룹 인터뷰로 실렸다.,https://kstationtv.com/2024/03/26/tws-for-vogue-korea-the-innocence-of-the-group/?lang=en
spillover,26,Y,"TWS performed at ROCK IN JAPAN FESTIVAL 2025, a major mainstream Japanese music festival, as part of their first Japan tour during the 'play hard' era.",투어스는 'play hard' 활동기 첫 일본 투어의 일환으로 일본 대형 주류 음악 페스티벌 ROCK IN JAPAN FESTIVAL 2025 무대에 섰다.,https://ca.billboard.com/music/music-news/its-new-season-for-tws
spillover,27,Y,"TWS showed comedic 'variety-show flair' distinct from their stage persona in a self-produced 'Avatar Blind Date' segment, featuring member role-plays and character impressions (e.g., SpongeBob), covered by mainstream Korean entertainment press.","투어스는 자체 제작 '아바타 소개팅' 콘텐츠에서 멤버 역할극과 스폰지밥 등 캐릭터 성대모사로 무대와 다른 예능감을 보여줬고, 국내 주요 연예 매체가 이를 다뤘다.",https://sports.khan.co.kr/en/article/202606031513007/
spillover,28,Y,"TWS's official Japanese debut single 'Nice to See You Again' (Japanese title 'Hajimemashite') debuted at No.1 on Oricon's Daily Singles Ranking, selling roughly 120,000 copies on its release day in July 2025.",투어스의 일본 정식 데뷔 싱글 'Nice to See You Again'(일본 제목 'はじめまして')은 2025년 7월 발매 당일 약 12만 장을 팔며 오리콘 데일리 싱글 랭킹 1위로 데뷔했다.,https://www.koreaherald.com/article/10523669
spillover,29,Y,'Hajimemashite' simultaneously debuted at No.1 on the Billboard Japan Hot 100 chart.,'はじめまして'는 빌보드 재팬 핫100에서도 동시에 1위로 데뷔했다.,https://www.billboard.com/music/chart-beat/tws-hajimemashite-debuts-number-1-japan-hot-100-1236016809/
spillover,30,Y,"TWS's 5th EP 'No Tragedy' debuted at No.1 on Oricon's Daily Albums Ranking (about 198,000 copies on day one) and became the group's first million-seller within four days of its April 2026 release.","투어스 5번째 EP 'No Tragedy'는 오리콘 데일리 앨범 랭킹 1위(발매 당일 약 19만 8,000장)로 데뷔했고, 2026년 4월 발매 나흘 만에 그룹 첫 밀리언셀러가 됐다.",https://www.koreaherald.com/article/10731919
spillover,31,Y,TWS's Korean-language mini-albums 'Sparkling Blue' and 'Summer Beat!' charted on Billboard Japan's 2024 year-end Hot Albums list (No.96 and No.85 respectively) even before the group's official Japanese debut.,투어스의 한국어 미니앨범 'Sparkling Blue'와 'Summer Beat!'는 일본 정식 데뷔 전인 2024년 빌보드 재팬 연말 핫 앨범 차트에 각각 96위와 85위로 올랐다.,https://www.dipe.co.kr/2313070
spillover,32,Y,"The same two pre-debut mini-albums also placed No.2 and No.3 on Oricon's Weekly Albums Ranking, with combined sales exceeding 1 million units within six months of the group's overall debut.","이 두 미니앨범은 오리콘 주간 앨범 랭킹에서도 2위와 3위에 올랐으며, 그룹 데뷔 6개월 안에 합산 판매 100만 장을 넘겼다.",https://www.dipe.co.kr/2313070
spillover,33,Y,"TWS's Korean single 'Last Bell' hit No.1 on Oricon's Daily Singles chart on December 3, 2024, months before the group's formal Japanese-market debut.",투어스의 한국어 싱글 'Last Bell'은 일본 정식 데뷔 몇 달 전인 2024년 12월 3일 오리콘 데일리 싱글 차트 1위에 올랐다.,https://www.dipe.co.kr/2313070
spillover,34,Y,"TWS earned an RIAJ Gold certification (100,000+ units shipped in Japan) for the Korean mini-album 'TRY WITH US' in May 2025.",투어스는 2025년 5월 한국어 미니앨범 'TRY WITH US'로 일본레코드협회(RIAJ) 골드 인증(일본 내 10만 장 이상 출하)을 받았다.,https://www.soompi.com/article/1745590wpp/twices-misamo-tws-and-team-earn-riaj-platinum-and-gold-certifications-in-japan
spillover,35,Y,TWS's EP 'NO TRAGEDY' earned the group's fifth Japan Gold Disc certification.,투어스 EP 'NO TRAGEDY'가 그룹의 다섯 번째 일본 골드디스크 인증을 받았다.,https://www.allkpop.com/article/2026/06/tws-earns-fifth-japan-gold-disc-certification-with-no-tragedy
spillover,36,Y,"TWS's Japan 2nd single 'SODA SODA' surpassed 250,000 copies sold and achieved platinum certification, per the TWS Japan official site.",투어스 일본 2번째 싱글 'SODA SODA'가 25만 장 판매를 넘겨 플래티넘 인증을 받았다고 투어스 일본 공식 사이트가 밝혔다.,https://tws-official.jp/news/175615e2f332
spillover,37,Y,"TWS's second Japanese single 'SODA SODA' also hit No.1 on Oricon's Daily Singles chart on August 3, 2026, selling 161,253 copies on day one — the group's best-ever day-one performance in Japan.","투어스 일본 두 번째 싱글 'SODA SODA'는 2026년 8월 3일 오리콘 데일리 싱글 차트 1위에 올랐고 발매 당일 16만 1,253장을 팔아 그룹의 일본 첫날 최다 판매 기록을 세웠다.",https://www.starnewskorea.com/en/music/2026/08/05/2026080508230312834
spillover,38,Y,"TWS appeared on Nippon TV's live morning variety program 'DayDay.' on July 3, 2025, timed to their Japanese single release.",투어스는 일본 싱글 발매에 맞춰 2025년 7월 3일 닛폰TV 아침 생방송 예능 'DayDay.'에 출연했다.,https://www.universal-music.co.jp/tws/news/2025-06-30/
spillover,39,Y,"TWS was featured on the covers of four Japanese fashion/entertainment magazines in 2024 — special editions of Ray (March) and ViVi (April), and July issues of Non-no and Hanryu PIA — ahead of their official Japan debut.","투어스는 일본 정식 데뷔 전인 2024년 일본 패션·연예 잡지 4종(Ray 3월 특별판, ViVi 4월 특별판, Non-no·한류피아 7월호)의 표지를 장식했다.",https://www.dipe.co.kr/2292276
spillover,40,Y,"TWS was named the visual/brand ambassador for Japanese fashion retailer WEGO's 2025 Fall/Winter collection (announced September 17, 2025), including original merchandise and buyer events.",투어스는 일본 패션 리테일 브랜드 위고(WEGO)의 2025년 가을·겨울 컬렉션 비주얼·브랜드 앰버서더로 선정돼(2025년 9월 17일 발표) 오리지널 굿즈와 구매자 이벤트를 진행했다.,https://kstationtv.com/2025/09/17/tws-the-new-face-of-a-japanese-brand/?lang=en
spillover,41,Y,"TWS's 2025 Japan arena tour '24/7:WITH:US' ran 13 sold-out shows across six cities (Hiroshima, Aichi, Fukuoka, Miyagi, Osaka, Kanagawa) drawing about 50,000 fans, closing at K-Arena Yokohama on August 9-10, 2025.","투어스 2025년 일본 아레나 투어 '24/7:WITH:US'는 히로시마·아이치·후쿠오카·미야기·오사카·가나가와 6개 도시 13회 공연이 전석 매진돼 약 5만 명을 동원했고, 2025년 8월 9∼10일 요코하마 K-아레나에서 막을 내렸다.",https://www.cineplay.co.kr/en-us/articles/20016
spillover,42,Y,"TWS's 2026 Japan arena tour '24/7:FOR:YOU' comprises eight shows across Fukuoka (Fukuoka International Center), Kobe (Kobe World Memorial Hall), and Yokohama (K Arena Yokohama) running August 28-September 13, 2026.",투어스 2026년 일본 아레나 투어 '24/7:FOR:YOU'는 2026년 8월 28일∼9월 13일 후쿠오카(후쿠오카 국제센터)·고베(고베 월드기념홀)·요코하마(K아레나 요코하마) 8회 공연으로 구성된다.,https://www.kpopjournal.tokyo/tws-japan-tour-2026-guide/
spillover,43,Y,"TWS's Japanese-market releases are distributed by Universal Music Japan, which hosts the group's official Japan discography and product pages (e.g. the CD single 'Hajimemashite', catalog no. TYCT-30159).","투어스의 일본 음반은 유니버설뮤직재팬이 유통하며, 공식 일본 디스코그래피와 상품 페이지(예: CD 싱글 'はじめまして', 품번 TYCT-30159)를 운영한다.",https://www.universal-music.co.jp/tws/
spillover,44,Y,"Thai mainstream entertainment outlet Thairath reported TWS's first major Bangkok concert, '2026 TWS TOUR 24/7:FOR:YOU IN BANGKOK,' set for Sept 26, 2026 at Idea Live, Bravo BKK, with tickets priced 2,900–6,900 THB.","태국 주류 연예 매체 타이랏은 투어스의 첫 대형 방콕 콘서트 '2026 TWS TOUR 24/7:FOR:YOU IN BANGKOK'이 2026년 9월 26일 브라보 BKK 아이디어 라이브에서 열리며 티켓은 2,900∼6,900바트라고 보도했다.",https://en.thairath.co.th/entertain/music/2934706
spillover,45,Y,Thai K-wave site Korseries covered the Bangkok concert announcement alongside TWS's mainstream commercial milestone of over 1.1 million copies sold of album 'NO TRAGEDY' in its first week.,태국 한류 매체 코시리즈는 방콕 콘서트 발표와 함께 투어스 앨범 'NO TRAGEDY'의 첫 주 110만 장 이상 판매라는 상업적 성과를 다뤘다.,https://www.korseries.com/2026-tws-tour-24-7-for-you-in-bangkok/
spillover,46,Y,"Bandwagon.asia reported TWS's first VR concert experience, 'RUSH ROAD,' launching at Gateway Cineplex Manila from April 17–26, 2026, presented by Wilbros Live.",밴드왜건아시아는 투어스의 첫 VR 콘서트 'RUSH ROAD'가 윌브로스 라이브 주최로 2026년 4월 17∼26일 마닐라 게이트웨이 시네플렉스에서 열린다고 보도했다.,https://www.bandwagon.asia/articles/tws-to-launch-first-vr-concert-rush-road-in-manila-this-april
spillover,47,Y,"Philippine lifestyle/entertainment site When In Manila covered TWS's VR concert 'RUSH ROAD' at Gateway Cineplex, confirming dates and TicketNet ticketing details.",필리핀 라이프스타일·연예 매체 웬인마닐라는 게이트웨이 시네플렉스의 투어스 VR 콘서트 'RUSH ROAD' 일정과 티켓넷 예매 정보를 다뤘다.,https://www.wheninmanila.com/tws-first-vr-concert-ph-2026/
spillover,48,Y,"Major Indonesian portal Detik.com reported that TWS's 2026 Asia tour excluded Jakarta, noting local fans' disappointment under the headline 'Jakarta Disekip Bikin Fans Gundah.'",인도네시아 대형 포털 데틱닷컴은 투어스 2026년 아시아 투어에서 자카르타가 빠졌다고 보도하며 '자카르타 스킵에 팬들 낙담'이라는 제목으로 현지 팬들의 실망을 전했다.,https://www.detik.com/pop/korean-wave/d-8475319/tws-umumkan-tur-asia-jakarta-disekip-bikin-fans-gundah
spillover,49,Y,"IDN Times reported Jakarta ranks among the 'Top Cities with the most TWS listeners' on streaming platforms, despite the Indonesian capital being left off the group's 2026 tour route.",IDN 타임스는 자카르타가 스트리밍 플랫폼에서 '투어스 청취자가 가장 많은 도시' 상위권에 들면서도 2026년 투어 경로에서 제외됐다고 보도했다.,https://www.idntimes.com/korea/kpop/tws-umumkan-tur-asia-2026-jakarta-gak-masuk-list-00-sd4vv-cl51j3
spillover,50,Y,"Kapanlagi.com confirmed no Indonesian city appears on TWS's official 2026 Asia tour schedule, describing Jakarta as 'passed' and noting local fan disappointment.",카판라기닷컴은 투어스 2026년 아시아 투어 공식 일정에 인도네시아 도시가 없다며 자카르타가 '패싱'됐다고 표현하고 현지 팬들의 실망을 전했다.,https://www.kapanlagi.com/korea/tws-umumkan-jadwal-dan-kota-untuk-asia-tour-2026-jakarta-passing-473df5.html
spillover,51,Y,"Bandwagon.asia reported TWS joining the lineup of AsiaTop Music Festival 2026 (May 30–31) at Sepang International Circuit, Malaysia, alongside acts like Daesung, S.Coups, NMIXX, WINNER, and STAYC.",밴드왜건아시아는 투어스가 대성·에스쿱스·엔믹스·위너·스테이씨 등과 함께 말레이시아 세팡 인터내셔널 서킷에서 열리는 아시아톱 뮤직 페스티벌 2026(5월 30∼31일) 라인업에 합류했다고 보도했다.,https://www.bandwagon.asia/articles/daesung-s-coups-mingyu-nmixx-winner-stayc-tws-more-set-for-asiatop-music-festival-2026-in-malaysia
spillover,52,Y,"Singapore entertainment/ticketing outlet x-clusive.sg confirmed TWS's first-ever Singapore concert, part of the '24/7:FOR:YOU' tour, on Oct 10, 2026 at Arena @ EXPO, with SISTIC presale/general-sale details.",싱가포르 연예·티켓 매체 x-clusive.sg는 투어스의 첫 싱가포르 콘서트('24/7:FOR:YOU' 투어)가 2026년 10월 10일 아레나@엑스포에서 열린다며 SISTIC 선예매·일반예매 정보를 안내했다.,https://x-clusive.sg/events/tws-247-for-you-singapore/
spillover,53,Y,"x-clusive.sg also covered TWS's VR concert 'RUSH ROAD' premiering exclusively at Golden Village Bugis+ in Singapore, April 30–May 13, 2026.",x-clusive.sg는 투어스 VR 콘서트 'RUSH ROAD'가 2026년 4월 30일∼5월 13일 싱가포르 골든빌리지 부기스+에서 단독 상영된다고도 보도했다.,https://x-clusive.sg/2026/04/tws-vr-concert-rush-road-singapore/
spillover,54,Y,"Bandwagon.asia's regional tour roundup confirmed TWS's full 8-city '24/7:FOR:YOU' Asia tour route (Seoul, Fukuoka, Hyogo, Kanagawa, Macau, Bangkok, Singapore, Kaohsiung), marking Bangkok and Singapore as the group's first-ever visits to Southeast Asia.",밴드왜건아시아의 지역 투어 정리 기사는 투어스 '24/7:FOR:YOU' 아시아 투어 8개 도시(서울·후쿠오카·효고·가나가와·마카오·방콕·싱가포르·가오슝) 경로를 확인하며 방콕과 싱가포르가 그룹의 첫 동남아 방문이라고 전했다.,https://www.bandwagon.asia/articles/tws-announce-24-7-for-you-asia-tour-hitting-macau-bangkok-singapore-kaohsiung-more
spillover,55,N(원래 한국어),"투어스가 셀린느, MLB, 짐빔 등 다양한 브랜드의 러브콜을 받으며 광고계의 신흥 강자로 떠올랐고, 일본 싱글 'SODA SODA'가 발매 첫 주 22만 5천 장 이상 팔리며 현지 차트 1위를 기록했다고 스포츠경향이 2026년 9월 2일 보도했다.","투어스가 셀린느, MLB, 짐빔 등 다양한 브랜드의 러브콜을 받으며 광고계의 신흥 강자로 떠올랐고, 일본 싱글 'SODA SODA'가 발매 첫 주 22만 5천 장 이상 팔리며 현지 차트 1위를 기록했다고 스포츠경향이 2026년 9월 2일 보도했다.",https://sports.khan.co.kr/en/article/202609022334007/
spillover,56,N(원래 한국어),플레디스(하이브) 산하 6인조 보이그룹 투어스가 2024년 1월 22일 EP 'Sparkling Blue'로 데뷔해 '보이후드 팝' 콘셉트로 한국 차트에서 큰 성공을 거뒀다고 프랑스어 매체가 소개했다.,플레디스(하이브) 산하 6인조 보이그룹 투어스가 2024년 1월 22일 EP 'Sparkling Blue'로 데뷔해 '보이후드 팝' 콘셉트로 한국 차트에서 큰 성공을 거뒀다고 프랑스어 매체가 소개했다.,https://soundofkmusic.squarespace.com/discover-1/tws
spillover,57,N(원래 한국어),칠레 매체 라쿠아르타가 투어스를 플레디스 소속 '보이후드 팝' 콘셉트의 세븐틴 후배 그룹으로 소개하며 2024년 데뷔 이후 FC바르셀로나와의 협업 등으로 5세대 케이팝의 유력주자로 급부상했다고 보도했다.,칠레 매체 라쿠아르타가 투어스를 플레디스 소속 '보이후드 팝' 콘셉트의 세븐틴 후배 그룹으로 소개하며 2024년 데뷔 이후 FC바르셀로나와의 협업 등으로 5세대 케이팝의 유력주자로 급부상했다고 보도했다.,https://www.lacuarta.com/kpop/noticia/el-ascenso-imparable-de-tws-el-grupo-de-pledis-que-la-rompe-con-el-concepto-de-boyhood-pop/4GV44PGN5ZAX7HX4MP5VMVRUBE/
