fandom,year,n_loyalty,n_spillover,n_total,loyalty_sum,spillover_sum,loyalty_density,spillover_density,year_share,late_round_share,valid_cell
다이나믹듀오,2025,9,6,15,17.8,11.0,1.9778,1.8333,0.01192,0.4,1
다이나믹듀오,2026,4,3,7,8.1,6.3,2.025,2.1,0.0046,0.2857,1
동방신기,2016,0,1,1,0.0,2.8,,,0.00521,0.0,0
동방신기,2017,0,2,2,0.0,4.1,,,0.01258,0.0,0
동방신기,2018,2,3,5,2.5,7.5,,2.5,0.0237,0.2,1
동방신기,2019,0,1,1,0.0,1.0,,,0.00433,1.0,0
동방신기,2020,3,0,3,7.2,0.0,2.4,,0.01103,0.3333,0
동방신기,2023,2,0,2,5.3,0.0,,,0.00411,0.5,0
동방신기,2024,1,3,4,1.5,4.0,,1.3333,0.00544,0.0,0
동방신기,2025,3,4,7,7.3,7.6,2.4333,1.9,0.00556,0.4286,1
동방신기,2026,1,5,6,4.5,9.1,,1.82,0.00394,0.1667,1
레드벨벳,2015,0,1,1,0.0,1.5,,,0.00806,1.0,0
레드벨벳,2016,1,3,4,2.1,3.5,,1.1667,0.02083,0.0,0
레드벨벳,2017,1,4,5,3.0,7.2,,1.8,0.03145,0.6,1
레드벨벳,2018,3,6,9,5.5,10.7,1.8333,1.7833,0.04265,0.3333,1
레드벨벳,2019,0,2,2,0.0,2.5,,,0.00866,0.5,0
레드벨벳,2020,1,2,3,2.3,2.0,,,0.01103,0.0,0
레드벨벳,2021,2,4,6,5.9,6.4,,1.6,0.02791,0.3333,1
레드벨벳,2022,3,4,7,5.3,8.0,1.7667,2.0,0.01994,0.1429,1
레드벨벳,2023,3,5,8,4.0,8.0,1.3333,1.6,0.01643,0.125,1
레드벨벳,2024,4,2,6,6.6,4.4,1.65,,0.00816,0.0,1
레드벨벳,2025,2,10,12,3.3,17.3,,1.73,0.00954,0.1667,1
레드벨벳,2026,3,8,11,4.9,13.0,1.6333,1.625,0.00722,0.2727,1
로이킴,2015,1,2,3,1.8,3.0,,,0.02419,0.0,0
로이킴,2016,1,2,3,1.3,3.6,,,0.01562,0.0,0
로이킴,2018,1,6,7,2.0,10.5,,1.75,0.03318,0.0,1
로이킴,2019,0,2,2,0.0,2.5,,,0.00866,0.5,0
로이킴,2022,5,5,10,8.5,7.5,1.7,1.5,0.02849,0.1,1
로이킴,2024,1,2,3,1.0,3.9,,,0.00408,0.3333,0
로이킴,2025,1,8,9,1.5,12.4,,1.55,0.00715,0.2222,1
로이킴,2026,10,10,20,19.4,15.3,1.94,1.53,0.01313,0.15,1
리센느(RESCENE),2024,3,2,5,6.5,5.0,2.1667,,0.0068,0.0,1
리센느(RESCENE),2025,5,4,9,9.8,6.0,1.96,1.5,0.00715,0.0,1
리센느(RESCENE),2026,13,29,42,27.9,63.9,2.1462,2.2034,0.02758,0.3095,1
린,2015,0,1,1,0.0,1.5,,,0.00806,1.0,0
린,2016,0,1,1,0.0,1.0,,,0.00521,0.0,0
린,2018,0,3,3,0.0,5.5,,1.8333,0.01422,0.3333,0
린,2020,0,1,1,0.0,1.5,,,0.00368,0.0,0
린,2021,0,1,1,0.0,1.0,,,0.00465,0.0,0
린,2022,0,1,1,0.0,1.5,,,0.00285,0.0,0
린,2024,9,8,17,15.3,13.3,1.7,1.6625,0.02313,0.4118,1
린,2025,5,6,11,8.6,11.6,1.72,1.9333,0.00874,0.3636,1
린,2026,6,14,20,11.1,27.5,1.85,1.9643,0.01313,0.45,1
마마무,2015,2,1,3,2.8,1.5,,,0.02419,0.0,0
마마무,2016,2,6,8,3.6,12.0,,2.0,0.04167,0.375,1
마마무,2017,1,1,2,1.0,1.0,,,0.01258,0.0,0
마마무,2018,4,5,9,6.1,10.9,1.525,2.18,0.04265,0.2222,1
마마무,2019,1,2,3,1.0,3.6,,,0.01299,0.3333,0
마마무,2020,3,4,7,7.8,7.5,2.6,1.875,0.02574,0.0,1
마마무,2021,2,2,4,3.0,3.3,,,0.0186,0.25,0
마마무,2023,3,4,7,4.5,4.5,1.5,1.125,0.01437,0.1429,1
마마무,2024,0,1,1,0.0,2.0,,,0.00136,1.0,0
마마무,2025,0,4,4,0.0,10.0,,2.5,0.00318,0.5,0
마마무,2026,4,8,12,6.1,14.9,1.525,1.8625,0.00788,0.25,1
몬스타엑스,2016,0,2,2,0.0,2.0,,,0.01042,1.0,0
몬스타엑스,2017,0,2,2,0.0,5.0,,,0.01258,1.0,0
몬스타엑스,2018,1,3,4,2.0,4.6,,1.5333,0.01896,1.0,0
몬스타엑스,2019,5,6,11,10.0,10.7,2.0,1.7833,0.04762,1.0,1
몬스타엑스,2020,2,2,4,4.1,3.5,,,0.01471,1.0,0
몬스타엑스,2021,1,3,4,2.8,4.7,,1.5667,0.0186,1.0,0
몬스타엑스,2022,1,3,4,1.5,5.9,,1.9667,0.0114,1.0,0
몬스타엑스,2023,1,2,3,2.0,3.2,,,0.00616,1.0,0
몬스타엑스,2024,0,1,1,0.0,1.6,,,0.00136,1.0,0
몬스타엑스,2025,10,12,22,23.8,18.4,2.38,1.5333,0.01749,1.0,1
몬스타엑스,2026,11,7,18,21.4,10.3,1.9455,1.4714,0.01182,1.0,1
박서진,2015,0,1,1,0.0,1.5,,,0.00806,1.0,0
박서진,2018,0,2,2,0.0,4.3,,,0.00948,0.5,0
박서진,2020,2,0,2,5.7,0.0,,,0.00735,0.5,0
박서진,2021,2,0,2,6.4,0.0,,,0.0093,0.0,0
박서진,2022,3,0,3,6.3,0.0,2.1,,0.00855,0.0,0
박서진,2023,3,2,5,9.3,3.6,3.1,,0.01027,0.4,1
박서진,2024,4,6,10,10.3,10.1,2.575,1.6833,0.01361,0.3,1
박서진,2025,6,15,21,17.1,26.3,2.85,1.7533,0.01669,0.3333,1
박서진,2026,1,18,19,2.8,35.2,,1.9556,0.01248,0.3684,1
박재범,2015,0,1,1,0.0,1.8,,,0.00806,0.0,0
박재범,2016,1,2,3,2.3,3.0,,,0.01562,0.3333,0
박재범,2017,1,0,1,2.3,0.0,,,0.00629,1.0,0
박재범,2018,1,0,1,1.0,0.0,,,0.00474,0.0,0
박재범,2021,0,1,1,0.0,3.0,,,0.00465,0.0,0
박재범,2022,0,6,6,0.0,14.7,,2.45,0.01709,0.1667,1
박재범,2023,1,5,6,1.5,9.3,,1.86,0.01232,0.5,1
박재범,2024,1,2,3,2.8,3.3,,,0.00408,0.0,0
박재범,2025,7,4,11,11.4,9.4,1.6286,2.35,0.00874,0.0909,1
박재범,2026,10,9,19,13.0,11.8,1.3,1.3111,0.01248,0.2632,1
박정현,2015,0,1,1,0.0,1.5,,,0.00806,0.0,0
박정현,2016,0,1,1,0.0,1.5,,,0.00521,0.0,0
박정현,2017,0,1,1,0.0,1.5,,,0.00629,1.0,0
박정현,2019,0,3,3,0.0,3.5,,1.1667,0.01299,0.0,0
박정현,2022,2,1,3,3.1,1.8,,,0.00855,0.0,0
박정현,2024,1,2,3,2.8,3.0,,,0.00408,0.0,0
박정현,2025,2,3,5,2.8,4.0,,1.3333,0.00397,0.0,1
박정현,2026,0,1,1,0.0,2.3,,,0.00066,0.0,0
박효신,2015,1,0,1,2.0,0.0,,,0.00806,1.0,0
박효신,2016,3,1,4,6.6,1.8,2.2,,0.02083,0.75,0
박효신,2017,0,4,4,0.0,4.5,,1.125,0.02516,0.75,0
박효신,2018,2,1,3,4.8,1.0,,,0.01422,0.6667,0
박효신,2019,4,3,7,10.4,7.1,2.6,2.3667,0.0303,0.8571,1
박효신,2020,1,0,1,2.3,0.0,,,0.00368,1.0,0
박효신,2022,0,4,4,0.0,6.5,,1.625,0.0114,1.0,0
박효신,2023,1,0,1,2.8,0.0,,,0.00205,1.0,0
박효신,2024,0,3,3,0.0,4.0,,1.3333,0.00408,0.3333,0
박효신,2025,4,2,6,7.9,3.3,1.975,,0.00477,0.6667,1
박효신,2026,8,7,15,16.2,13.9,2.025,1.9857,0.00985,0.5333,1
백지영,2015,0,2,2,0.0,3.9,,,0.01613,0.5,0
백지영,2016,1,2,3,3.0,2.0,,,0.01562,0.6667,0
백지영,2018,3,1,4,6.1,1.5,2.0333,,0.01896,0.75,0
백지영,2019,0,1,1,0.0,2.1,,,0.00433,1.0,0
백지영,2020,4,0,4,8.3,0.0,2.075,,0.01471,0.5,0
백지영,2021,0,2,2,0.0,4.1,,,0.0093,0.0,0
백지영,2022,0,3,3,0.0,4.0,,1.3333,0.00855,0.0,0
백지영,2023,0,1,1,0.0,1.0,,,0.00205,0.0,0
백지영,2024,2,1,3,4.0,2.8,,,0.00408,0.3333,0
백지영,2025,3,4,7,3.5,5.7,1.1667,1.425,0.00556,0.0,1
백지영,2026,1,6,7,1.5,9.1,,1.5167,0.0046,0.4286,1
보아,2016,0,3,3,0.0,6.4,,2.1333,0.01562,0.0,0
보아,2018,0,1,1,0.0,2.0,,,0.00474,0.0,0
보아,2020,0,1,1,0.0,1.5,,,0.00368,1.0,0
보아,2021,1,0,1,3.3,0.0,,,0.00465,0.0,0
보아,2024,0,1,1,0.0,2.0,,,0.00136,0.0,0
보아,2025,5,3,8,11.0,5.5,2.2,1.8333,0.00636,0.5,1
보아,2026,5,1,6,9.7,2.8,1.94,,0.00394,0.3333,1
볼빨간사춘기,2016,2,2,4,2.5,3.5,,,0.02083,0.5,0
볼빨간사춘기,2017,0,5,5,0.0,10.5,,2.1,0.03145,0.2,1
볼빨간사춘기,2018,0,3,3,0.0,4.0,,1.3333,0.01422,0.6667,0
볼빨간사춘기,2019,0,2,2,0.0,3.3,,,0.00866,0.0,0
볼빨간사춘기,2020,1,7,8,1.0,10.6,,1.5143,0.02941,0.625,1
볼빨간사춘기,2022,1,1,2,1.8,3.5,,,0.0057,0.0,0
볼빨간사춘기,2023,2,3,5,5.1,5.0,,1.6667,0.01027,0.2,1
볼빨간사춘기,2024,1,3,4,1.5,3.0,,1.0,0.00544,0.0,0
볼빨간사춘기,2025,9,2,11,16.7,3.6,1.8556,,0.00874,0.3636,1
볼빨간사춘기,2026,5,7,12,8.0,8.5,1.6,1.2143,0.00788,0.4167,1
브라운아이즈,2015,2,3,5,3.8,6.5,,2.1667,0.04032,0.6,1
브라운아이즈,2017,0,2,2,0.0,3.5,,,0.01258,1.0,0
브라운아이즈,2018,0,1,1,0.0,3.8,,,0.00474,0.0,0
브라운아이즈,2020,0,1,1,0.0,1.5,,,0.00368,0.0,0
브라운아이즈,2021,0,1,1,0.0,1.5,,,0.00465,0.0,0
브라운아이즈,2023,2,0,2,2.5,0.0,,,0.00411,1.0,0
브라운아이즈,2024,0,1,1,0.0,1.5,,,0.00136,1.0,0
브라운아이즈,2025,5,4,9,10.6,7.8,2.12,1.95,0.00715,0.8889,1
비비,2019,0,1,1,0.0,2.0,,,0.00433,1.0,0
비비,2020,0,1,1,0.0,1.0,,,0.00368,0.0,0
비비,2021,0,4,4,0.0,6.7,,1.675,0.0186,0.5,0
비비,2022,2,2,4,3.3,3.1,,,0.0114,0.5,0
비비,2023,0,2,2,0.0,5.0,,,0.00411,0.0,0
비비,2024,1,9,10,2.3,16.1,,1.7889,0.01361,0.1,1
비비,2025,8,8,16,12.8,15.1,1.6,1.8875,0.01272,0.1875,1
비비,2026,3,4,7,4.6,7.1,1.5333,1.775,0.0046,0.5714,1
빅마마,2020,0,1,1,0.0,1.8,,,0.00368,0.0,0
빅마마,2021,3,8,11,6.8,13.8,2.2667,1.725,0.05116,0.4545,1
빅마마,2022,4,2,6,9.0,4.0,2.25,,0.01709,0.5,1
빅마마,2023,4,1,5,7.0,1.3,1.75,,0.01027,0.4,1
빅마마,2024,1,2,3,2.0,2.5,,,0.00408,0.0,0
빅마마,2025,0,1,1,0.0,1.0,,,0.00079,0.0,0
빅뱅,2015,2,2,4,3.3,4.1,,,0.03226,0.0,0
빅뱅,2016,0,5,5,0.0,8.4,,1.68,0.02604,0.0,1
빅뱅,2017,2,1,3,3.6,2.1,,,0.01887,0.3333,0
빅뱅,2018,0,2,2,0.0,3.9,,,0.00948,0.0,0
빅뱅,2020,1,0,1,2.3,0.0,,,0.00368,1.0,0
빅뱅,2023,1,2,3,2.0,4.4,,,0.00616,0.3333,0
빅뱅,2024,0,2,2,0.0,4.3,,,0.00272,0.5,0
빅뱅,2025,1,4,5,2.3,5.8,,1.45,0.00397,0.2,1
빅뱅,2026,12,21,33,26.1,38.3,2.175,1.8238,0.02167,0.303,1
빈지노,2015,0,6,6,0.0,9.6,,1.6,0.04839,1.0,1
빈지노,2016,1,4,5,2.3,7.8,,1.95,0.02604,1.0,1
빈지노,2017,1,0,1,2.5,0.0,,,0.00629,1.0,0
빈지노,2019,0,1,1,0.0,2.1,,,0.00433,1.0,0
빈지노,2020,2,1,3,3.5,2.5,,,0.01103,1.0,0
빈지노,2021,1,2,3,3.8,4.3,,,0.01395,1.0,0
빈지노,2022,1,3,4,3.5,7.0,,2.3333,0.0114,1.0,0
빈지노,2023,3,5,8,5.5,7.9,1.8333,1.58,0.01643,1.0,1
빈지노,2024,7,4,11,11.6,5.9,1.6571,1.475,0.01497,1.0,1
빈지노,2025,1,3,4,1.5,5.1,,1.7,0.00318,1.0,0
샤이니,2015,1,2,3,2.3,4.3,,,0.02419,0.6667,0
샤이니,2016,1,3,4,2.5,9.1,,3.0333,0.02083,0.0,0
샤이니,2017,1,2,3,2.3,2.5,,,0.01887,0.3333,0
샤이니,2018,0,2,2,0.0,2.0,,,0.00948,0.0,0
샤이니,2019,0,1,1,0.0,1.0,,,0.00433,0.0,0
샤이니,2021,3,6,9,7.5,16.1,2.5,2.6833,0.04186,0.1111,1
샤이니,2023,1,2,3,2.3,4.3,,,0.00616,0.0,0
샤이니,2024,3,2,5,6.8,3.3,2.2667,,0.0068,0.2,1
샤이니,2025,7,0,7,11.9,0.0,1.7,,0.00556,0.2857,1
샤이니,2026,2,10,12,3.0,18.1,,1.81,0.00788,0.3333,1
성시경,2016,0,1,1,0.0,2.9,,,0.00521,0.0,0
성시경,2017,0,1,1,0.0,1.5,,,0.00629,0.0,0
성시경,2019,0,2,2,0.0,3.1,,,0.00866,0.0,0
성시경,2020,0,1,1,0.0,3.1,,,0.00368,0.0,0
성시경,2021,2,0,2,5.2,0.0,,,0.0093,0.5,0
성시경,2022,0,4,4,0.0,6.1,,1.525,0.0114,0.0,0
성시경,2023,3,2,5,5.4,3.0,1.8,,0.01027,0.0,1
성시경,2024,0,3,3,0.0,5.0,,1.6667,0.00408,0.0,0
성시경,2025,7,3,10,10.7,5.1,1.5286,1.7,0.00795,0.0,1
성시경,2026,14,7,21,24.3,12.5,1.7357,1.7857,0.01379,0.2857,1
소녀시대,2015,1,1,2,1.8,1.0,,,0.01613,0.0,0
소녀시대,2017,0,2,2,0.0,4.5,,,0.01258,0.5,0
소녀시대,2018,0,1,1,0.0,1.0,,,0.00474,0.0,0
소녀시대,2020,1,0,1,2.6,0.0,,,0.00368,1.0,0
소녀시대,2021,0,1,1,0.0,1.8,,,0.00465,1.0,0
소녀시대,2022,4,3,7,8.9,6.8,2.225,2.2667,0.01994,0.4286,1
소녀시대,2023,1,1,2,6.3,1.5,,,0.00411,0.0,0
소녀시대,2024,3,4,7,5.3,8.2,1.7667,2.05,0.00952,0.2857,1
소녀시대,2025,3,1,4,5.3,1.8,1.7667,,0.00318,0.75,0
소녀시대,2026,1,10,11,2.0,21.9,,2.19,0.00722,0.6364,1
송가인,2019,2,10,12,3.3,22.3,,2.23,0.05195,0.4167,1
송가인,2020,4,8,12,10.2,14.8,2.55,1.85,0.04412,0.5,1
송가인,2021,2,4,6,3.8,7.7,,1.925,0.02791,0.1667,1
송가인,2022,0,3,3,0.0,4.6,,1.5333,0.00855,0.0,0
송가인,2023,0,1,1,0.0,1.0,,,0.00205,0.0,0
송가인,2024,2,0,2,3.3,0.0,,,0.00272,0.0,0
송가인,2025,8,11,19,17.4,23.2,2.175,2.1091,0.0151,0.1579,1
송가인,2026,3,13,16,5.8,25.8,1.9333,1.9846,0.01051,0.125,1
슈퍼주니어,2017,0,2,2,0.0,5.3,,,0.01258,0.0,0
슈퍼주니어,2018,0,1,1,0.0,1.0,,,0.00474,0.0,0
슈퍼주니어,2020,0,4,4,0.0,7.5,,1.875,0.01471,0.0,0
슈퍼주니어,2021,0,3,3,0.0,5.7,,1.9,0.01395,0.3333,0
슈퍼주니어,2023,2,3,5,4.5,7.9,,2.6333,0.01027,0.0,1
슈퍼주니어,2024,2,1,3,3.8,1.5,,,0.00408,1.0,0
슈퍼주니어,2025,6,5,11,19.1,8.8,3.1833,1.76,0.00874,0.3636,1
슈퍼주니어,2026,1,8,9,2.3,19.6,,2.45,0.00591,0.5556,1
싸이,2015,0,1,1,0.0,1.8,,,0.00806,0.0,0
싸이,2017,1,4,5,2.6,7.8,,1.95,0.03145,0.2,1
싸이,2018,1,0,1,2.8,0.0,,,0.00474,1.0,0
싸이,2022,1,3,4,1.0,3.8,,1.2667,0.0114,0.5,0
싸이,2023,2,4,6,4.6,11.4,,2.85,0.01232,0.3333,1
싸이,2024,1,4,5,1.5,7.1,,1.775,0.0068,0.0,1
싸이,2025,4,16,20,10.1,41.2,2.525,2.575,0.0159,0.2,1
싸이,2026,3,3,6,6.3,6.5,2.1,2.1667,0.00394,0.0,1
아이오아이,2016,2,11,13,4.0,19.4,,1.7636,0.06771,0.3846,1
아이오아이,2017,2,1,3,3.0,1.0,,,0.01887,0.0,0
아이오아이,2021,2,2,4,2.0,4.0,,,0.0186,0.5,0
아이오아이,2023,0,1,1,0.0,1.8,,,0.00205,1.0,0
아이오아이,2024,0,1,1,0.0,1.0,,,0.00136,1.0,0
아이오아이,2025,0,2,2,0.0,3.0,,,0.00159,1.0,0
아이오아이,2026,25,14,39,49.8,24.8,1.992,1.7714,0.02561,0.1795,1
아이유,2016,0,1,1,0.0,1.0,,,0.00521,1.0,0
아이유,2017,0,1,1,0.0,3.0,,,0.00629,1.0,0
아이유,2018,2,0,2,5.1,0.0,,,0.00948,1.0,0
아이유,2019,0,3,3,0.0,6.1,,2.0333,0.01299,0.3333,0
아이유,2021,0,1,1,0.0,1.8,,,0.00465,0.0,0
아이유,2022,1,1,2,1.8,1.5,,,0.0057,0.5,0
아이유,2023,2,5,7,6.6,11.5,,2.3,0.01437,0.2857,1
아이유,2024,11,19,30,21.3,55.9,1.9364,2.9421,0.04082,0.3333,1
아이유,2025,1,9,10,2.1,18.3,,2.0333,0.00795,0.2,1
아이유,2026,5,8,13,15.2,11.6,3.04,1.45,0.00854,0.3077,1
아일릿,2023,1,0,1,1.0,0.0,,,0.00205,0.0,0
아일릿,2024,7,15,22,19.0,26.3,2.7143,1.7533,0.02993,0.2273,1
아일릿,2025,4,14,18,9.5,26.6,2.375,1.9,0.01431,0.2778,1
아일릿,2026,5,13,18,9.3,24.7,1.86,1.9,0.01182,0.2222,1
악동뮤지션,2016,1,2,3,1.0,3.0,,,0.01562,0.0,0
악동뮤지션,2017,2,0,2,4.1,0.0,,,0.01258,0.0,0
악동뮤지션,2018,0,1,1,0.0,3.0,,,0.00474,1.0,0
악동뮤지션,2019,2,3,5,2.8,8.3,,2.7667,0.02165,0.0,1
악동뮤지션,2021,0,1,1,0.0,1.5,,,0.00465,0.0,0
악동뮤지션,2022,1,0,1,1.5,0.0,,,0.00285,0.0,0
악동뮤지션,2023,0,3,3,0.0,3.0,,1.0,0.00616,0.0,0
악동뮤지션,2024,6,2,8,10.3,6.7,1.7167,,0.01088,0.125,1
악동뮤지션,2025,0,6,6,0.0,11.0,,1.8333,0.00477,0.1667,1
악동뮤지션,2026,5,11,16,12.7,21.0,2.54,1.9091,0.01051,0.0,1
엄정화,2017,0,1,1,0.0,4.3,,,0.00629,0.0,0
엄정화,2020,1,5,6,1.0,8.5,,1.7,0.02206,0.3333,1
엄정화,2021,0,1,1,0.0,2.0,,,0.00465,0.0,0
엄정화,2023,5,3,8,8.3,5.6,1.66,1.8667,0.01643,0.375,1
엄정화,2024,0,3,3,0.0,4.6,,1.5333,0.00408,0.3333,0
엄정화,2025,1,1,2,1.0,1.0,,,0.00159,0.0,0
엄정화,2026,0,5,5,0.0,7.8,,1.56,0.00328,0.2,1
에픽하이,2016,0,1,1,0.0,1.5,,,0.00521,0.0,0
에픽하이,2019,3,2,5,4.5,3.8,1.5,,0.02165,0.4,1
에픽하이,2020,0,1,1,0.0,2.3,,,0.00368,1.0,0
에픽하이,2021,0,1,1,0.0,1.5,,,0.00465,1.0,0
에픽하이,2022,2,4,6,3.0,5.5,,1.375,0.01709,0.3333,1
에픽하이,2023,4,1,5,6.3,1.3,1.575,,0.01027,0.0,1
에픽하이,2024,0,2,2,0.0,2.5,,,0.00272,0.0,0
에픽하이,2025,6,6,12,8.6,9.1,1.4333,1.5167,0.00954,0.5,1
에픽하이,2026,7,3,10,12.1,5.3,1.7286,1.7667,0.00657,0.0,1
엔믹스,2015,0,1,1,0.0,1.3,,,0.00806,0.0,0
엔믹스,2021,0,1,1,0.0,1.5,,,0.00465,1.0,0
엔믹스,2022,2,4,6,3.5,6.6,,1.65,0.01709,0.1667,1
엔믹스,2023,4,3,7,6.0,4.3,1.5,1.4333,0.01437,0.1429,1
엔믹스,2024,1,6,7,1.0,11.5,,1.9167,0.00952,0.5714,1
엔믹스,2025,10,17,27,15.2,30.8,1.52,1.8118,0.02146,0.1481,1
엔믹스,2026,4,14,18,7.6,22.1,1.9,1.5786,0.01182,0.2778,1
여자친구,2015,0,5,5,0.0,7.4,,1.48,0.04032,0.4,1
여자친구,2016,0,8,8,0.0,15.5,,1.9375,0.04167,0.375,1
여자친구,2017,1,0,1,2.3,0.0,,,0.00629,1.0,0
여자친구,2018,3,3,6,4.3,4.0,1.4333,1.3333,0.02844,0.1667,1
여자친구,2019,6,5,11,10.3,10.6,1.7167,2.12,0.04762,0.1818,1
여자친구,2020,1,3,4,2.0,3.0,,1.0,0.01471,0.5,0
여자친구,2021,0,2,2,0.0,3.5,,,0.0093,0.0,0
여자친구,2022,0,2,2,0.0,3.5,,,0.0057,1.0,0
여자친구,2024,1,1,2,2.0,2.5,,,0.00272,0.5,0
여자친구,2025,8,6,14,13.8,12.8,1.725,2.1333,0.01113,0.2143,1
여자친구,2026,1,1,2,2.5,2.0,,,0.00131,0.5,0
영탁,2020,1,10,11,3.5,15.7,,1.57,0.04044,0.5455,1
영탁,2021,0,2,2,0.0,4.1,,,0.0093,0.0,0
영탁,2022,3,3,6,3.8,3.8,1.2667,1.2667,0.01709,0.0,1
영탁,2023,3,8,11,7.5,14.5,2.5,1.8125,0.02259,0.1818,1
영탁,2024,4,13,17,9.3,27.5,2.325,2.1154,0.02313,0.3529,1
영탁,2025,8,4,12,19.0,6.9,2.375,1.725,0.00954,0.0833,1
영탁,2026,10,4,14,18.3,6.8,1.83,1.7,0.00919,0.1429,1
오마이걸,2015,0,1,1,0.0,1.5,,,0.00806,1.0,0
오마이걸,2016,3,0,3,4.6,0.0,1.5333,,0.01562,0.0,0
오마이걸,2017,4,2,6,10.3,3.0,2.575,,0.03774,0.3333,1
오마이걸,2018,4,2,6,8.4,3.0,2.1,,0.02844,0.1667,1
오마이걸,2019,3,6,9,4.0,8.1,1.3333,1.35,0.03896,0.2222,1
오마이걸,2020,1,5,6,2.3,8.0,,1.6,0.02206,0.5,1
오마이걸,2021,1,5,6,2.3,10.7,,2.14,0.02791,0.1667,1
오마이걸,2022,0,2,2,0.0,4.0,,,0.0057,0.5,0
오마이걸,2023,1,1,2,1.5,1.8,,,0.00411,0.5,0
오마이걸,2024,1,5,6,1.5,8.0,,1.6,0.00816,0.3333,1
오마이걸,2025,2,5,7,3.5,8.6,,1.72,0.00556,0.4286,1
오마이걸,2026,3,9,12,5.3,19.5,1.7667,2.1667,0.00788,0.1667,1
워너원,2017,1,15,16,3.8,25.4,,1.6933,0.10063,0.375,1
워너원,2018,5,18,23,10.2,32.7,2.04,1.8167,0.109,0.2609,1
워너원,2019,3,2,5,4.0,3.3,1.3333,,0.02165,0.0,1
워너원,2021,2,2,4,3.5,3.5,,,0.0186,0.25,0
워너원,2022,1,2,3,2.0,2.0,,,0.00855,0.0,0
워너원,2024,0,1,1,0.0,1.5,,,0.00136,1.0,0
워너원,2025,1,3,4,1.5,6.0,,2.0,0.00318,1.0,0
워너원,2026,2,11,13,5.0,19.0,,1.7273,0.00854,0.4615,1
윤도현,2015,2,1,3,3.0,2.3,,,0.02419,0.3333,0
윤도현,2016,0,1,1,0.0,2.0,,,0.00521,1.0,0
윤도현,2018,1,3,4,2.1,5.1,,1.7,0.01896,0.5,0
윤도현,2020,2,4,6,4.1,7.1,,1.775,0.02206,0.5,1
윤도현,2021,0,2,2,0.0,5.0,,,0.0093,0.5,0
윤도현,2022,0,4,4,0.0,8.5,,2.125,0.0114,0.25,0
윤도현,2024,0,2,2,0.0,5.5,,,0.00272,0.0,0
윤도현,2025,8,4,12,14.3,8.6,1.7875,2.15,0.00954,0.3333,1
윤도현,2026,3,5,8,5.3,7.9,1.7667,1.58,0.00525,0.75,1
윤하,2015,1,0,1,1.8,0.0,,,0.00806,1.0,0
윤하,2019,1,1,2,1.5,1.3,,,0.00866,1.0,0
윤하,2020,0,2,2,0.0,2.8,,,0.00735,0.0,0
윤하,2021,0,1,1,0.0,2.5,,,0.00465,0.0,0
윤하,2022,1,3,4,3.1,5.5,,1.8333,0.0114,0.5,0
윤하,2023,5,6,11,10.2,10.4,2.04,1.7333,0.02259,0.2727,1
윤하,2024,9,2,11,23.0,3.8,2.5556,,0.01497,0.5455,1
윤하,2025,4,2,6,9.7,2.5,2.425,,0.00477,0.1667,1
윤하,2026,1,1,2,2.3,2.3,,,0.00131,0.5,0
이문세,2015,0,2,2,0.0,3.3,,,0.01613,0.5,0
이문세,2017,0,2,2,0.0,3.0,,,0.01258,0.5,0
이문세,2018,1,3,4,2.0,4.6,,1.5333,0.01896,0.5,0
이문세,2019,3,0,3,7.1,0.0,2.3667,,0.01299,1.0,0
이문세,2020,0,1,1,0.0,2.0,,,0.00368,0.0,0
이문세,2022,0,2,2,0.0,6.2,,,0.0057,0.0,0
이문세,2024,1,5,6,1.0,9.8,,1.96,0.00816,0.3333,1
이문세,2025,4,8,12,7.9,18.8,1.975,2.35,0.00954,0.6667,1
이문세,2026,1,2,3,2.0,3.3,,,0.00197,0.3333,0
이승철,2015,0,1,1,0.0,7.0,,,0.00806,0.0,0
이승철,2016,1,1,2,2.0,1.0,,,0.01042,0.5,0
이승철,2020,0,3,3,0.0,4.6,,1.5333,0.01103,0.3333,0
이승철,2021,0,1,1,0.0,2.0,,,0.00465,1.0,0
이승철,2022,0,1,1,0.0,1.0,,,0.00285,0.0,0
이승철,2024,0,2,2,0.0,3.4,,,0.00272,0.0,0
이승철,2025,3,4,7,4.8,7.4,1.6,1.85,0.00556,0.5714,1
이승철,2026,10,11,21,18.5,25.2,1.85,2.2909,0.01379,0.4286,1
이영지,2020,0,2,2,0.0,2.8,,,0.00735,0.0,0
이영지,2021,0,1,1,0.0,1.8,,,0.00465,0.0,0
이영지,2022,2,4,6,5.9,5.6,,1.4,0.01709,0.0,1
이영지,2023,3,2,5,5.1,3.9,1.7,,0.01027,0.2,1
이영지,2024,3,7,10,6.8,14.1,2.2667,2.0143,0.01361,0.0,1
이영지,2025,4,12,16,5.3,23.9,1.325,1.9917,0.01272,0.125,1
이영지,2026,13,5,18,27.8,7.1,2.1385,1.42,0.01182,0.1667,1
이찬원,2020,0,4,4,0.0,7.1,,1.775,0.01471,0.5,0
이찬원,2021,1,3,4,2.6,7.5,,2.5,0.0186,0.0,0
이찬원,2022,1,4,5,2.3,6.1,,1.525,0.01425,0.6,1
이찬원,2023,0,2,2,0.0,3.4,,,0.00411,0.5,0
이찬원,2024,1,7,8,1.0,13.0,,1.8571,0.01088,0.375,1
