fandom,year,n_docs,F1,F2,F3,F4,F5,top2,persona,valid_cell
거미,2020,,0.0083,0.0083,0.9667,0.0083,0.0083,F3+F4,현장상업형,0
거미,2022,,0.0089,0.0089,0.9643,0.0089,0.0089,F1+F3,집단동원형,0
거미,2023,,0.0591,0.0447,0.8568,0.0059,0.0334,F1+F3,집단동원형,0
거미,2024,,0.0609,0.0647,0.5493,0.0091,0.316,F3+F5,글로벌투어형,0
거미,2025,,0.0115,0.0115,0.9539,0.0115,0.0115,F3+F4,현장상업형,1
거미,2026,,0.0936,0.0084,0.6049,0.2847,0.0084,F3+F4,현장상업형,1
권은비,2021,,0.5259,0.0816,0.0814,0.2527,0.0584,F1+F4,브랜드동반형,0
권은비,2022,,0.071,0.2739,0.4267,0.008,0.2204,F2+F3,원정소비형,1
권은비,2023,,0.066,0.119,0.4054,0.2222,0.1874,F3+F4,현장상업형,1
권은비,2024,,0.0109,0.0877,0.7642,0.0109,0.1262,F3+F5,글로벌투어형,1
권은비,2025,,0.0437,0.0507,0.6748,0.1507,0.0801,F3+F4,현장상업형,1
권은비,2026,,0.1498,0.0725,0.5634,0.1255,0.0887,F1+F3,집단동원형,1
김동률,2015,,0.569,0.012,0.3012,0.012,0.1057,F1+F3,집단동원형,0
김동률,2018,,0.283,0.0553,0.4828,0.0419,0.137,F1+F3,집단동원형,1
김동률,2019,,0.8198,0.0408,0.0384,0.0096,0.0914,F1+F5,글로벌결속형,0
김동률,2023,,0.6932,0.0078,0.2834,0.0078,0.0078,F1+F3,집단동원형,0
김동률,2024,,0.0054,0.0054,0.8444,0.0832,0.0616,F3+F4,현장상업형,0
김동률,2025,,0.1771,0.081,0.5977,0.0362,0.108,F1+F3,집단동원형,1
김동률,2026,,0.1333,0.0059,0.849,0.0059,0.0059,F1+F3,집단동원형,1
김연자,2015,,0.0125,0.0125,0.95,0.0125,0.0125,F1+F3,집단동원형,0
김연자,2016,,0.1044,0.4963,0.261,0.0078,0.1305,F2+F3,원정소비형,0
김연자,2017,,0.0114,0.0114,0.3577,0.0114,0.6082,F3+F5,글로벌투어형,0
김연자,2018,,0.0528,0.0056,0.8653,0.0707,0.0056,F3+F4,현장상업형,0
김연자,2020,,0.0094,0.0094,0.9625,0.0094,0.0094,F3+F4,현장상업형,0
김연자,2021,,0.1496,0.1774,0.4006,0.2617,0.0107,F3+F4,현장상업형,0
김연자,2022,,0.009,0.009,0.3024,0.6706,0.009,F3+F4,현장상업형,0
김연자,2023,,0.0074,0.0074,0.9706,0.0074,0.0074,F1+F3,집단동원형,0
김연자,2024,,0.0095,0.1789,0.7764,0.0095,0.0258,F2+F3,원정소비형,1
김연자,2025,,0.0126,0.2451,0.5638,0.0126,0.1659,F2+F3,원정소비형,0
김연자,2026,,0.0085,0.0085,0.9519,0.0085,0.0227,F3+F5,글로벌투어형,1
김재중,2015,,0.2179,0.0028,0.5695,0.207,0.0028,F1+F3,집단동원형,0
김재중,2016,,0.0685,0.0078,0.8281,0.0078,0.0878,F3+F5,글로벌투어형,0
김재중,2017,,0.0099,0.0099,0.7873,0.1832,0.0099,F3+F4,현장상업형,0
김재중,2018,,0.0139,0.0139,0.9444,0.0139,0.0139,F1+F3,집단동원형,0
김재중,2019,,0.0077,0.0418,0.6401,0.0396,0.2708,F3+F5,글로벌투어형,0
김재중,2020,,0.0051,0.043,0.7209,0.1068,0.1242,F3+F5,글로벌투어형,0
김재중,2021,,0.0066,0.0066,0.0264,0.9539,0.0066,F3+F4,현장상업형,0
김재중,2023,,0.0691,0.0244,0.7943,0.0826,0.0296,F3+F4,현장상업형,1
김재중,2024,,0.1127,0.0051,0.5708,0.3064,0.0051,F3+F4,현장상업형,0
김재중,2025,,0.0458,0.01,0.7557,0.1426,0.0459,F3+F4,현장상업형,1
김재중,2026,,0.0076,0.0139,0.8428,0.0556,0.0801,F3+F5,글로벌투어형,1
김호중,2020,,0.1692,0.1224,0.3441,0.0892,0.2752,F3+F5,글로벌투어형,1
김호중,2021,,0.2295,0.2403,0.4998,0.0152,0.0152,F2+F3,원정소비형,0
김호중,2022,,0.0649,0.1914,0.3418,0.2895,0.1123,F3+F4,현장상업형,1
김호중,2023,,0.1405,0.3064,0.4031,0.0307,0.1193,F2+F3,원정소비형,1
김호중,2024,,0.1809,0.1673,0.364,0.1892,0.0986,F3+F4,현장상업형,1
김호중,2025,,0.1942,0.0122,0.7267,0.0291,0.0377,F1+F3,집단동원형,1
김호중,2026,,0.0135,0.0135,0.8158,0.1438,0.0135,F3+F4,현장상업형,1
나훈아,2017,,0.3791,0.1583,0.1927,0.0392,0.2306,F1+F5,글로벌결속형,1
나훈아,2019,,0.583,0.1556,0.1764,0.0135,0.0714,F1+F3,집단동원형,0
나훈아,2020,,0.4038,0.0877,0.433,0.0108,0.0646,F1+F3,집단동원형,1
나훈아,2024,,0.1708,0.1026,0.4747,0.1398,0.112,F1+F3,집단동원형,1
나훈아,2025,,0.1121,0.0996,0.6758,0.0091,0.1034,F1+F3,집단동원형,1
나훈아,2026,,0.0104,0.0104,0.8711,0.0104,0.0976,F3+F5,글로벌투어형,0
다비치,2015,,0.0139,0.0139,0.9444,0.0139,0.0139,F2+F3,원정소비형,0
다비치,2016,,0.0229,0.224,0.5059,0.0569,0.1903,F2+F3,원정소비형,1
다비치,2018,,0.0073,0.0073,0.9708,0.0073,0.0073,F1+F3,집단동원형,0
다비치,2019,,0.0688,0.0242,0.7489,0.0515,0.1066,F3+F5,글로벌투어형,1
다비치,2022,,0.0661,0.0134,0.6177,0.2894,0.0134,F3+F4,현장상업형,0
다비치,2023,,0.0111,0.0111,0.5984,0.3684,0.0111,F3+F4,현장상업형,0
다비치,2024,,0.0081,0.0081,0.6879,0.2879,0.0081,F3+F4,현장상업형,0
다비치,2025,,0.0104,0.0551,0.4554,0.3824,0.0967,F3+F4,현장상업형,0
다비치,2026,,0.2848,0.071,0.4905,0.0345,0.1192,F1+F3,집단동원형,1
다이나믹듀오,2017,,0.0384,0.0096,0.6928,0.0096,0.2495,F3+F5,글로벌투어형,0
다이나믹듀오,2018,,0.2296,0.005,0.6532,0.1072,0.005,F1+F3,집단동원형,0
다이나믹듀오,2020,,0.0104,0.2177,0.6204,0.0104,0.141,F2+F3,원정소비형,0
다이나믹듀오,2022,,0.0065,0.0065,0.8425,0.138,0.0065,F3+F4,현장상업형,0
다이나믹듀오,2023,,0.3002,0.0077,0.6571,0.0077,0.0274,F1+F3,집단동원형,1
다이나믹듀오,2024,,0.0826,0.1768,0.5342,0.0095,0.1969,F3+F5,글로벌투어형,0
다이나믹듀오,2025,,0.1222,0.0559,0.758,0.0297,0.0343,F1+F3,집단동원형,1
다이나믹듀오,2026,,0.0056,0.0056,0.8152,0.0282,0.1454,F3+F5,글로벌투어형,1
동방신기,2016,,0.0767,0.0052,0.9076,0.0052,0.0052,F1+F3,집단동원형,0
동방신기,2017,,0.1485,0.0124,0.7275,0.0124,0.0991,F1+F3,집단동원형,0
동방신기,2018,,0.1905,0.1156,0.3884,0.0225,0.283,F3+F5,글로벌투어형,1
동방신기,2019,,0.0063,0.0063,0.975,0.0063,0.0063,F3+F5,글로벌투어형,0
동방신기,2020,,0.4056,0.0072,0.5439,0.0361,0.0072,F1+F3,집단동원형,0
동방신기,2023,,0.0062,0.3447,0.3826,0.1572,0.1093,F2+F3,원정소비형,0
동방신기,2024,,0.1492,0.1434,0.6119,0.0663,0.0292,F1+F3,집단동원형,0
동방신기,2025,,0.0937,0.0141,0.7894,0.0743,0.0285,F1+F3,집단동원형,1
동방신기,2026,,0.0995,0.0907,0.7035,0.0083,0.0981,F1+F3,집단동원형,1
레드벨벳,2015,,0.089,0.0078,0.4348,0.4606,0.0078,F3+F4,현장상업형,0
레드벨벳,2016,,0.014,0.1577,0.6561,0.1582,0.014,F3+F4,현장상업형,0
레드벨벳,2017,,0.112,0.0142,0.3215,0.5382,0.0142,F3+F4,현장상업형,1
레드벨벳,2018,,0.1415,0.0202,0.545,0.266,0.0273,F3+F4,현장상업형,1
레드벨벳,2019,,0.0313,0.0313,0.276,0.6302,0.0313,F3+F4,현장상업형,0
레드벨벳,2020,,0.033,0.2214,0.263,0.0068,0.4757,F3+F5,글로벌투어형,0
레드벨벳,2021,,0.0097,0.083,0.3231,0.3803,0.2039,F3+F4,현장상업형,1
레드벨벳,2022,,0.1728,0.2395,0.2987,0.0219,0.2669,F3+F5,글로벌투어형,1
레드벨벳,2023,,0.0532,0.1507,0.6143,0.0886,0.0932,F2+F3,원정소비형,1
레드벨벳,2024,,0.0453,0.1179,0.7898,0.0072,0.0398,F2+F3,원정소비형,1
레드벨벳,2025,,0.0201,0.075,0.6447,0.1508,0.1095,F3+F4,현장상업형,1
레드벨벳,2026,,0.0395,0.1163,0.6393,0.0841,0.1208,F3+F5,글로벌투어형,1
로이킴,2015,,0.3272,0.0153,0.5963,0.0153,0.0458,F1+F3,집단동원형,0
로이킴,2016,,0.1399,0.0096,0.3417,0.4993,0.0096,F3+F4,현장상업형,0
로이킴,2018,,0.1453,0.0114,0.4592,0.0807,0.3034,F3+F5,글로벌투어형,1
로이킴,2019,,0.1175,0.0073,0.5621,0.3059,0.0073,F3+F4,현장상업형,0
로이킴,2022,,0.0563,0.0591,0.5251,0.2422,0.1174,F3+F4,현장상업형,1
로이킴,2024,,0.0062,0.0062,0.8576,0.1239,0.0062,F3+F4,현장상업형,0
로이킴,2025,,0.0072,0.0164,0.8984,0.0582,0.0198,F3+F4,현장상업형,1
로이킴,2026,,0.0388,0.0609,0.7438,0.0611,0.0954,F3+F5,글로벌투어형,1
리센느(RESCENE),2024,,0.1096,0.0063,0.4842,0.089,0.3109,F3+F5,글로벌투어형,1
리센느(RESCENE),2025,,0.1288,0.0409,0.383,0.0256,0.4216,F3+F5,글로벌투어형,1
리센느(RESCENE),2026,,0.0784,0.0301,0.3755,0.3707,0.1453,F3+F4,현장상업형,1
린,2015,,0.7656,0.1406,0.0626,0.0156,0.0156,F1+F2,핵심소비형,0
린,2016,,0.005,0.965,0.02,0.005,0.005,F2+F3,원정소비형,0
린,2018,,0.0741,0.3347,0.471,0.0121,0.1082,F2+F3,원정소비형,0
린,2020,,0.0083,0.0083,0.7163,0.2587,0.0083,F3+F4,현장상업형,0
린,2021,,0.0078,0.1414,0.8352,0.0078,0.0078,F2+F3,원정소비형,0
린,2022,,0.0125,0.0125,0.2388,0.7237,0.0125,F3+F4,현장상업형,0
린,2024,,0.1776,0.1402,0.5747,0.0096,0.0978,F1+F3,집단동원형,1
린,2025,,0.0632,0.0175,0.8899,0.0109,0.0185,F1+F3,집단동원형,1
린,2026,,0.0551,0.0386,0.7841,0.066,0.0562,F3+F4,현장상업형,1
마마무,2015,,0.0739,0.1731,0.4976,0.0983,0.1571,F2+F3,원정소비형,0
마마무,2016,,0.3025,0.0104,0.2281,0.4167,0.0423,F1+F4,브랜드동반형,1
마마무,2017,,0.1022,0.2835,0.0317,0.0079,0.5747,F2+F5,글로벌소비형,0
마마무,2018,,0.208,0.0673,0.2047,0.3852,0.1348,F1+F4,브랜드동반형,1
마마무,2019,,0.0102,0.1054,0.7595,0.1146,0.0102,F3+F4,현장상업형,0
마마무,2020,,0.0105,0.1067,0.042,0.0105,0.8303,F2+F5,글로벌소비형,1
마마무,2021,,0.0633,0.056,0.6426,0.0081,0.23,F3+F5,글로벌투어형,0
마마무,2023,,0.0078,0.2048,0.4726,0.0078,0.307,F3+F5,글로벌투어형,1
마마무,2024,,0.0089,0.0089,0.373,0.1691,0.44,F3+F5,글로벌투어형,0
마마무,2025,,0.0057,0.0057,0.7222,0.2438,0.0225,F3+F4,현장상업형,0
마마무,2026,,0.0565,0.0406,0.6779,0.1708,0.0542,F3+F4,현장상업형,1
몬스타엑스,2016,,0.0104,0.2505,0.5743,0.0104,0.1544,F2+F3,원정소비형,0
몬스타엑스,2017,,0.0066,0.0344,0.3587,0.0066,0.5937,F3+F5,글로벌투어형,0
몬스타엑스,2018,,0.0068,0.0068,0.8418,0.0068,0.1378,F3+F5,글로벌투어형,0
몬스타엑스,2019,,0.0232,0.0214,0.7563,0.1314,0.0676,F3+F4,현장상업형,1
몬스타엑스,2020,,0.0069,0.0464,0.7952,0.0069,0.1446,F3+F5,글로벌투어형,0
몬스타엑스,2021,,0.0741,0.1013,0.3899,0.2735,0.1612,F3+F4,현장상업형,0
몬스타엑스,2022,,0.007,0.0728,0.5856,0.3277,0.0069,F3+F4,현장상업형,0
몬스타엑스,2023,,0.0065,0.0404,0.4377,0.509,0.0065,F3+F4,현장상업형,0
몬스타엑스,2024,,0.0104,0.0104,0.1938,0.775,0.0104,F3+F4,현장상업형,0
몬스타엑스,2025,,0.0755,0.0392,0.6792,0.0705,0.1356,F3+F5,글로벌투어형,1
몬스타엑스,2026,,0.0418,0.0281,0.6746,0.0488,0.2068,F3+F5,글로벌투어형,1
박서진,2015,,0.7812,0.0313,0.1251,0.0313,0.0313,F1+F3,집단동원형,0
박서진,2018,,0.1931,0.0064,0.7877,0.0064,0.0064,F1+F3,집단동원형,0
박서진,2020,,0.0721,0.009,0.8166,0.0431,0.0591,F1+F3,집단동원형,0
박서진,2021,,0.0081,0.0081,0.8464,0.1294,0.0081,F3+F4,현장상업형,0
박서진,2022,,0.1786,0.0098,0.7921,0.0098,0.0098,F1+F3,집단동원형,0
박서진,2023,,0.0558,0.0084,0.8228,0.1047,0.0084,F3+F4,현장상업형,1
박서진,2024,,0.108,0.0437,0.7158,0.095,0.0374,F1+F3,집단동원형,1
박서진,2025,,0.227,0.0104,0.637,0.0938,0.0318,F1+F3,집단동원형,1
박서진,2026,,0.089,0.0136,0.8265,0.0533,0.0176,F1+F3,집단동원형,1
박재범,2015,,0.111,0.0069,0.8681,0.0069,0.007,F1+F3,집단동원형,0
박재범,2016,,0.2598,0.2038,0.2614,0.0077,0.2674,F3+F5,글로벌투어형,0
박재범,2017,,0.0074,0.0074,0.7362,0.2417,0.0074,F3+F4,현장상업형,0
박재범,2018,,0.0063,0.6157,0.025,0.0063,0.3468,F2+F5,글로벌소비형,0
박재범,2021,,0.0089,0.0089,0.0357,0.9374,0.0089,F3+F4,현장상업형,0
박재범,2022,,0.0916,0.1671,0.2853,0.3966,0.0594,F3+F4,현장상업형,1
박재범,2023,,0.0077,0.0077,0.4804,0.4757,0.0285,F3+F4,현장상업형,1
박재범,2024,,0.1764,0.0862,0.3456,0.2224,0.1695,F3+F4,현장상업형,0
박재범,2025,,0.0516,0.0106,0.866,0.0611,0.0106,F3+F4,현장상업형,1
박재범,2026,,0.0422,0.0278,0.8798,0.0091,0.0412,F1+F3,집단동원형,1
박정현,2015,,0.0125,0.2939,0.6686,0.0125,0.0125,F2+F3,원정소비형,0
박정현,2016,,0.0125,0.4272,0.5353,0.0125,0.0125,F2+F3,원정소비형,0
박정현,2017,,0.1099,0.0114,0.856,0.0114,0.0114,F1+F3,집단동원형,0
박정현,2019,,0.0738,0.2673,0.5505,0.0123,0.096,F2+F3,원정소비형,0
박정현,2022,,0.344,0.2205,0.3472,0.009,0.0794,F1+F3,집단동원형,0
박정현,2024,,0.0873,0.1516,0.4232,0.3281,0.0099,F3+F4,현장상업형,0
박정현,2025,,0.011,0.011,0.912,0.011,0.055,F3+F5,글로벌투어형,1
박정현,2026,,0.0104,0.0104,0.9583,0.0104,0.0104,F3+F4,현장상업형,0
박효신,2015,,0.005,0.005,0.98,0.005,0.005,F3+F5,글로벌투어형,0
박효신,2016,,0.485,0.008,0.491,0.008,0.008,F1+F3,집단동원형,0
박효신,2017,,0.1518,0.0446,0.7501,0.0089,0.0446,F1+F3,집단동원형,0
박효신,2018,,0.0599,0.1979,0.6435,0.0252,0.0736,F2+F3,원정소비형,0
박효신,2019,,0.1252,0.0066,0.7388,0.0951,0.0343,F1+F3,집단동원형,1
박효신,2020,,0.0096,0.0881,0.883,0.0096,0.0096,F2+F3,원정소비형,0
박효신,2022,,0.305,0.0557,0.5997,0.0077,0.0319,F1+F3,집단동원형,0
박효신,2023,,0.1732,0.0063,0.808,0.0063,0.0063,F1+F3,집단동원형,0
박효신,2024,,0.1073,0.2265,0.5427,0.0472,0.0763,F2+F3,원정소비형,0
박효신,2025,,0.0518,0.0854,0.7067,0.0425,0.1135,F3+F5,글로벌투어형,1
박효신,2026,,0.2142,0.0826,0.5493,0.0416,0.1124,F1+F3,집단동원형,1
백지영,2015,,0.1975,0.0063,0.6047,0.1852,0.0063,F1+F3,집단동원형,0
백지영,2016,,0.0073,0.0586,0.9196,0.0073,0.0073,F2+F3,원정소비형,0
백지영,2018,,0.0092,0.0092,0.9633,0.0092,0.0092,F1+F3,집단동원형,0
백지영,2019,,0.0074,0.0074,0.2871,0.6908,0.0074,F3+F4,현장상업형,0
백지영,2020,,0.0067,0.0518,0.5174,0.3889,0.0352,F3+F4,현장상업형,0
백지영,2021,,0.009,0.009,0.9374,0.009,0.0357,F3+F5,글로벌투어형,0
백지영,2022,,0.0958,0.0748,0.7386,0.0096,0.0811,F1+F3,집단동원형,0
백지영,2023,,0.0057,0.0587,0.8577,0.0722,0.0057,F3+F4,현장상업형,0
백지영,2024,,0.0432,0.2494,0.1451,0.465,0.0973,F2+F4,소비상업형,0
백지영,2025,,0.1798,0.1757,0.425,0.0128,0.2067,F3+F5,글로벌투어형,1
백지영,2026,,0.0057,0.0327,0.9502,0.0057,0.0057,F2+F3,원정소비형,1
보아,2016,,0.1015,0.0618,0.559,0.2671,0.0106,F3+F4,현장상업형,0
보아,2018,,0.0114,0.0114,0.3264,0.0114,0.6394,F3+F5,글로벌투어형,0
보아,2020,,0.0052,0.0052,0.9792,0.0052,0.0052,F3+F4,현장상업형,0
보아,2021,,0.007,0.14,0.0278,0.1798,0.6454,F4+F5,산업확장형,0
보아,2024,,0.0083,0.0083,0.9666,0.0083,0.0083,F1+F3,집단동원형,0
보아,2025,,0.007,0.018,0.7917,0.1595,0.0238,F3+F4,현장상업형,1
보아,2026,,0.0334,0.0574,0.6807,0.1532,0.0753,F3+F4,현장상업형,1
볼빨간사춘기,2016,,0.3483,0.1695,0.2467,0.0133,0.2222,F1+F3,집단동원형,0
볼빨간사춘기,2017,,0.2208,0.1025,0.1638,0.0115,0.5014,F1+F5,글로벌결속형,1
볼빨간사춘기,2018,,0.0505,0.1322,0.7998,0.0088,0.0088,F2+F3,원정소비형,0
볼빨간사춘기,2019,,0.0088,0.0088,0.8921,0.0088,0.0815,F3+F5,글로벌투어형,0
볼빨간사춘기,2020,,0.0144,0.1552,0.5811,0.1694,0.08,F3+F4,현장상업형,1
볼빨간사춘기,2022,,0.0093,0.0093,0.3188,0.0093,0.6534,F3+F5,글로벌투어형,0
볼빨간사춘기,2023,,0.0047,0.2632,0.276,0.0047,0.4514,F3+F5,글로벌투어형,1
볼빨간사춘기,2024,,0.1695,0.0089,0.8038,0.0089,0.0089,F1+F3,집단동원형,0
볼빨간사춘기,2025,,0.0336,0.1101,0.6472,0.1185,0.0906,F3+F4,현장상업형,1
볼빨간사춘기,2026,,0.0263,0.1233,0.7004,0.117,0.033,F2+F3,원정소비형,1
브라운아이즈,2015,,0.0907,0.1035,0.7783,0.0201,0.0074,F2+F3,원정소비형,1
브라운아이즈,2017,,0.0104,0.0104,0.5196,0.234,0.2255,F3+F4,현장상업형,0
브라운아이즈,2018,,0.0826,0.0293,0.8817,0.0032,0.0032,F1+F3,집단동원형,0
브라운아이즈,2020,,0.1209,0.0452,0.4292,0.3999,0.0048,F3+F4,현장상업형,0
브라운아이즈,2021,,0.0043,0.0043,0.9828,0.0043,0.0043,F3+F4,현장상업형,0
브라운아이즈,2023,,0.0068,0.0068,0.8599,0.1198,0.0068,F3+F4,현장상업형,0
브라운아이즈,2024,,0.0083,0.0083,0.6554,0.0083,0.3196,F3+F5,글로벌투어형,0
브라운아이즈,2025,,0.0496,0.0481,0.8446,0.0055,0.0522,F3+F5,글로벌투어형,1
비비,2019,,0.0045,0.0045,0.9821,0.0045,0.0045,F1+F3,집단동원형,0
비비,2020,,0.0208,0.2783,0.6592,0.0208,0.0208,F2+F3,원정소비형,0
비비,2021,,0.0085,0.0085,0.4423,0.4925,0.0482,F3+F4,현장상업형,0
비비,2022,,0.1504,0.1873,0.4317,0.2009,0.0296,F3+F4,현장상업형,0
비비,2023,,0.0085,0.1686,0.7378,0.0085,0.0766,F2+F3,원정소비형,0
비비,2024,,0.0484,0.0666,0.3573,0.3362,0.1914,F3+F4,현장상업형,1
비비,2025,,0.0469,0.0572,0.5233,0.1515,0.2212,F3+F5,글로벌투어형,1
비비,2026,,0.0136,0.1173,0.6942,0.1332,0.0417,F3+F4,현장상업형,1
빅마마,2020,,0.0078,0.0078,0.0313,0.9453,0.0078,F3+F4,현장상업형,0
빅마마,2021,,0.0104,0.0348,0.8001,0.1313,0.0233,F3+F4,현장상업형,1
빅마마,2022,,0.1729,0.0106,0.7841,0.0218,0.0106,F1+F3,집단동원형,1
빅마마,2023,,0.0087,0.0737,0.7754,0.0087,0.1336,F3+F5,글로벌투어형,1
빅마마,2024,,0.0116,0.2219,0.7063,0.0116,0.0486,F2+F3,원정소비형,0
빅마마,2025,,0.0114,0.0114,0.6207,0.3452,0.0114,F3+F4,현장상업형,0
빅뱅,2015,,0.134,0.0081,0.5519,0.1931,0.1129,F3+F4,현장상업형,0
빅뱅,2016,,0.0453,0.222,0.2358,0.3054,0.1915,F3+F4,현장상업형,1
빅뱅,2017,,0.05,0.1888,0.2526,0.3027,0.206,F3+F4,현장상업형,0
빅뱅,2018,,0.0997,0.0068,0.6894,0.0968,0.1073,F3+F5,글로벌투어형,0
빅뱅,2020,,0.0125,0.0125,0.95,0.0125,0.0125,F3+F4,현장상업형,0
빅뱅,2023,,0.0313,0.1197,0.4765,0.366,0.0065,F3+F4,현장상업형,0
빅뱅,2024,,0.0046,0.0046,0.9212,0.0649,0.0046,F3+F4,현장상업형,0
빅뱅,2025,,0.0085,0.0788,0.7779,0.0085,0.1264,F3+F5,글로벌투어형,1
빅뱅,2026,,0.0975,0.0522,0.5765,0.1282,0.1456,F3+F5,글로벌투어형,1
빈지노,2015,,0.1416,0.0079,0.7417,0.1008,0.0079,F1+F3,집단동원형,1
빈지노,2016,,0.1897,0.0084,0.4527,0.0795,0.2696,F3+F5,글로벌투어형,1
빈지노,2017,,0.0048,0.0048,0.566,0.0048,0.4196,F3+F5,글로벌투어형,0
빈지노,2019,,0.0066,0.0066,0.1951,0.7851,0.0066,F3+F4,현장상업형,0
빈지노,2020,,0.4234,0.0071,0.3256,0.1962,0.0478,F1+F3,집단동원형,0
빈지노,2021,,0.0066,0.0066,0.6965,0.102,0.1882,F3+F5,글로벌투어형,0
빈지노,2022,,0.2208,0.0081,0.472,0.2075,0.0916,F1+F3,집단동원형,0
빈지노,2023,,0.1248,0.0124,0.7366,0.0071,0.1191,F1+F3,집단동원형,1
빈지노,2024,,0.498,0.0072,0.4378,0.0498,0.0072,F1+F3,집단동원형,1
빈지노,2025,,0.0937,0.0072,0.7496,0.1422,0.0072,F3+F4,현장상업형,0
샤이니,2015,,0.2578,0.0326,0.5966,0.0611,0.0519,F1+F3,집단동원형,0
샤이니,2016,,0.2579,0.0094,0.5398,0.0094,0.1835,F1+F3,집단동원형,0
샤이니,2017,,0.0365,0.0501,0.8957,0.0088,0.0088,F2+F3,원정소비형,0
샤이니,2018,,0.0126,0.3905,0.2283,0.0126,0.3559,F2+F5,글로벌소비형,0
샤이니,2019,,0.0208,0.0208,0.9166,0.0209,0.0208,F3+F4,현장상업형,0
샤이니,2021,,0.1167,0.015,0.5184,0.0623,0.2875,F3+F5,글로벌투어형,1
샤이니,2023,,0.0701,0.082,0.832,0.008,0.008,F2+F3,원정소비형,0
샤이니,2024,,0.0795,0.008,0.7369,0.1677,0.008,F3+F4,현장상업형,1
샤이니,2025,,0.0302,0.0687,0.7965,0.0087,0.0961,F3+F5,글로벌투어형,1
샤이니,2026,,0.0898,0.0161,0.6185,0.1769,0.0987,F3+F4,현장상업형,1
성시경,2016,,0.3296,0.0096,0.0385,0.6126,0.0096,F1+F4,브랜드동반형,0
성시경,2017,,0.0911,0.0083,0.8838,0.0083,0.0083,F1+F3,집단동원형,0
성시경,2019,,0.0108,0.1358,0.5193,0.0108,0.3233,F3+F5,글로벌투어형,0
성시경,2020,,0.1772,0.0054,0.8065,0.0054,0.0054,F1+F3,집단동원형,0
성시경,2021,,0.0087,0.1799,0.6672,0.1356,0.0086,F2+F3,원정소비형,0
성시경,2022,,0.0623,0.0074,0.7368,0.1861,0.0074,F3+F4,현장상업형,0
성시경,2023,,0.0562,0.1167,0.4823,0.2582,0.0866,F3+F4,현장상업형,1
성시경,2024,,0.4619,0.3514,0.1374,0.0382,0.0112,F1+F2,핵심소비형,0
성시경,2025,,0.1021,0.0642,0.7319,0.0424,0.0594,F1+F3,집단동원형,1
성시경,2026,,0.0815,0.0617,0.5992,0.1888,0.0687,F3+F4,현장상업형,1
소녀시대,2015,,0.0113,0.3439,0.4342,0.0113,0.1993,F2+F3,원정소비형,0
소녀시대,2017,,0.1413,0.005,0.8436,0.005,0.005,F1+F3,집단동원형,0
소녀시대,2018,,0.0104,0.9271,0.0417,0.0104,0.0104,F2+F3,원정소비형,0
소녀시대,2020,,0.0066,0.0066,0.5643,0.4159,0.0066,F3+F4,현장상업형,0
소녀시대,2021,,0.0139,0.0139,0.0556,0.9028,0.0139,F3+F4,현장상업형,0
소녀시대,2022,,0.147,0.0069,0.584,0.1168,0.1453,F1+F3,집단동원형,1
소녀시대,2023,,0.0085,0.0085,0.9124,0.0622,0.0085,F3+F4,현장상업형,0
소녀시대,2024,,0.0439,0.1061,0.2933,0.44,0.1167,F3+F4,현장상업형,1
소녀시대,2025,,0.0057,0.0418,0.6903,0.0057,0.2565,F3+F5,글로벌투어형,0
소녀시대,2026,,0.0589,0.0073,0.8804,0.0109,0.0426,F1+F3,집단동원형,1
송가인,2019,,0.0233,0.0098,0.7361,0.2172,0.0136,F3+F4,현장상업형,1
송가인,2020,,0.3038,0.084,0.4092,0.1625,0.0405,F1+F3,집단동원형,1
송가인,2021,,0.1262,0.0655,0.6511,0.1432,0.014,F3+F4,현장상업형,1
송가인,2022,,0.0113,0.028,0.8611,0.0114,0.0882,F3+F5,글로벌투어형,0
송가인,2023,,0.3158,0.6554,0.0192,0.0048,0.0048,F1+F2,핵심소비형,0
송가인,2024,,0.3798,0.0107,0.4176,0.1812,0.0107,F1+F3,집단동원형,0
송가인,2025,,0.0304,0.0552,0.5948,0.2698,0.0499,F3+F4,현장상업형,1
송가인,2026,,0.0763,0.0348,0.7881,0.0496,0.0511,F1+F3,집단동원형,1
슈퍼주니어,2017,,0.0062,0.0062,0.7651,0.2162,0.0062,F3+F4,현장상업형,0
슈퍼주니어,2018,,0.125,0.3378,0.0556,0.0139,0.4678,F2+F5,글로벌소비형,0
슈퍼주니어,2020,,0.0093,0.3459,0.1804,0.1233,0.3412,F2+F5,글로벌소비형,0
슈퍼주니어,2021,,0.0377,0.0111,0.4821,0.4582,0.0111,F3+F4,현장상업형,0
슈퍼주니어,2023,,0.0097,0.1239,0.5062,0.2895,0.0707,F3+F4,현장상업형,1
슈퍼주니어,2024,,0.0082,0.0082,0.7205,0.2549,0.0082,F3+F4,현장상업형,0
슈퍼주니어,2025,,0.0822,0.0837,0.7077,0.0362,0.0902,F3+F5,글로벌투어형,1
슈퍼주니어,2026,,0.0189,0.0081,0.7818,0.1038,0.0874,F3+F4,현장상업형,1
싸이,2015,,0.087,0.006,0.3469,0.5033,0.0568,F3+F4,현장상업형,0
싸이,2017,,0.072,0.1167,0.3653,0.1727,0.2733,F3+F5,글로벌투어형,1
싸이,2018,,0.0066,0.0066,0.9146,0.0066,0.0656,F3+F5,글로벌투어형,0
